Time:250Hz,Epoch,10,14,15,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0040000000,0,-0.1108250985,-0.1088497690,-0.1035437303,32769,0.0059714867,0.0000000000
0.0079999999,1,-0.7254535505,-0.7119897794,-0.6935703410,,,
0.0119999999,1,-2.0709859189,-2.0344825363,-2.0420632695,,,
0.0159999998,2,-3.3036741177,-3.2591957081,-3.3957027421,,,
0.0199999998,2,-2.9818251938,-2.9825187026,-3.2369183870,,,
0.0240000000,3,-0.9196977341,-1.0219299308,-1.0437638157,,,
0.0279999999,3,1.4669066600,1.2230071992,1.9901395799,,,
0.0319999999,4,3.0377045757,2.6091520562,4.4332965297,,,
0.0359999998,4,3.9651730557,3.3417105470,5.8881429497,,,
0.0399999998,5,4.4842206167,3.7938268103,6.3139597995,,,
0.0439999998,5,3.9945669270,3.5256135643,5.2159049535,,,
0.0480000000,6,2.2732466705,2.3196913895,2.4896514041,,,
0.0519999999,6,0.4200646376,1.0905271366,-0.7002648372,,,
0.0559999999,7,-0.4914219956,0.6919475086,-2.9714304905,,,
0.0599999998,7,-0.7997075316,0.6693156605,-4.1464319209,,,
0.0639999998,8,-1.2494290085,0.2472934151,-4.7045015840,,,
0.0679999997,8,-1.5250520089,-0.2587274378,-4.4746642725,,,
0.0719999999,9,-0.9994868767,-0.1675674258,-3.0654195103,,,
0.0759999999,9,-0.1992630959,0.1271949124,-1.1600173808,,,
0.0799999998,10,-0.1723378183,-0.2679789129,-0.0681474438,,,
0.0839999998,10,-0.8703011213,-1.2167816553,-0.0989271418,,,
0.0880000000,11,-1.4991516917,-1.9537730631,-0.5302130042,,,
0.0919999999,11,-2.0585107074,-2.6240956124,-1.0188708288,,,
0.0959999999,12,-3.0459291457,-3.9160355378,-1.7463593504,,,
0.0999999999,12,-3.8745599416,-5.3153580407,-2.1979574013,,,
0.1039999998,13,-3.1649621018,-5.2512334801,-1.2132373397,,,
0.1079999998,13,-0.7269696148,-3.1492837721,1.3685609310,,,
0.1120000000,14,2.0875208901,-0.0861814945,4.2158303744,,,
0.1159999999,14,4.1569579926,2.7527092330,6.0557960301,,,
0.1199999999,15,5.3949497881,4.9674656839,6.7130568255,,,
0.1239999998,15,5.5999522036,6.0401218640,6.2524403741,,,
0.1279999998,16,4.0620597118,5.0739887770,4.3432423922,,,
0.1319999998,16,0.9819914217,2.2235868340,1.2364336203,,,
0.1359999999,17,-2.0270011161,-0.8055426299,-1.6866355529,,,
0.1399999999,17,-3.6666108936,-2.5152668195,-3.2658290092,,,
0.1439999999,18,-4.1358704306,-2.9273026471,-3.7115398118,,,
0.1479999998,18,-3.9301235398,-2.5254388719,-3.6784083204,,,
0.1519999998,19,-2.7071474667,-1.0964096283,-3.0795920809,,,
0.1559999997,19,-0.3576182278,1.3503309188,-1.7631932031,,,
0.1599999999,20,1.8796960351,3.5179226838,-0.5668890863,,,
0.1639999999,20,2.6329172022,3.9842912300,-0.5105630663,,,
0.1679999998,21,2.0522843679,2.8892572415,-1.3555400972,,,
0.1719999998,21,1.1902631499,1.4128600193,-2.0058817013,,,
0.1760000000,22,0.3979201814,0.1224835294,-2.0343713542,,,
0.1799999999,22,-0.5022837225,-1.0705965918,-1.7856376381,,,
0.1839999999,23,-1.0368017785,-1.8333474208,-1.2261314077,,,
