Time:250Hz,Epoch,10,14,15,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0040000000,0,-0.1162223063,-0.1119616726,-0.1049902792,,,
0.0079999999,1,-0.8168926254,-0.7907551480,-0.7587686804,,,
0.0119999999,1,-2.5244558899,-2.4579460474,-2.4317507862,,,
0.0159999998,2,-4.4167474441,-4.3390816486,-4.4861582854,,,
0.0199999998,2,-4.4767734301,-4.4900523479,-5.0045165086,,,
0.0240000000,3,-1.6942734437,-1.9153468566,-2.7028039323,,,
0.0279999999,3,2.5698476462,2.1054185628,1.5169039369,32769,0.0305138563,0.0000000000
0.0319999999,4,6.1397786541,5.5222229260,5.6199229919,,,
0.0359999998,4,7.9855271582,7.4010755843,8.2968865132,,,
0.0399999998,5,7.9914885227,7.6505717899,9.0876478475,,,
0.0439999998,5,6.0265750702,6.0833787054,7.6455709674,,,
0.0480000000,6,2.4643584980,2.9666080011,4.1339366168,,,
0.0519999999,6,-1.1502653653,-0.2409200616,-0.0690959508,,,
0.0559999999,7,-3.2421252726,-1.9849692955,-3.2131619730,,,
0.0599999998,7,-3.6918159605,-2.1639394637,-4.6462494866,,,
0.0639999998,8,-3.3059654121,-1.7021702380,-4.7323917835,,,
0.0679999997,8,-2.3658857780,-1.0665657774,-3.7131597796,,,
0.0719999999,9,-0.8108905902,-0.2705161824,-1.6910008595,,,
0.0759999999,9,0.5844851962,0.0671286969,0.4414895466,,,
0.0799999998,10,0.6316476064,-0.9370447638,1.3059067224,,,
0.0839999998,10,-0.6536595635,-2.9741831157,0.5547476607,,,
0.0880000000,11,-2.1120610162,-4.6804359275,-0.8979676758,,,
0.0919999999,11,-3.1964992970,-5.4197739152,-2.3626150085,,,
0.0959999999,12,-4.3448257994,-5.7253222634,-3.9663641453,,,
0.0999999999,12,-5.4528401987,-5.7873249566,-5.4693879669,,,
0.1039999998,13,-5.4919218222,-4.9241823445,-5.8083676509,,,
0.1079999998,13,-4.0898209928,-2.9841806316,-4.4660402586,,,
0.1120000000,14,-2.0900021571,-0.8692087409,-2.1996806764,,,
0.1159999999,14,-0.0564765073,0.9064156509,0.1957842415,,,
0.1199999999,15,2.3533669654,2.8364957174,2.7337420562,,,
0.1239999998,15,4.9140330363,4.9430662779,5.1818694386,,,
0.1279999998,16,6.1939204393,6.0242517762,6.3615482090,,,
0.1319999998,16,5.3283722249,5.2821411051,5.4956929975,,,
0.1359999999,17,3.3241716467,3.6262390963,3.4314930229,,,
0.1399999999,17,1.7253188295,2.4724824735,1.6215221919,,,
0.1439999999,18,0.9169224548,2.1250980853,0.5226214969,,,
0.1479999998,18,0.5776313263,2.1795015822,-0.1888328247,,,
0.1519999998,19,0.8103855594,2.6145001287,-0.4874984596,,,
0.1559999997,19,1.6208753394,3.3270519741,-0.1976029162,,,
0.1599999999,20,2.0052994106,3.2699021867,0.0851689503,,,
0.1639999999,20,0.9595751924,1.4485192905,-0.4861812522,,,
0.1679999998,21,-0.9585898973,-1.5046159481,-1.6534967912,,,
0.1719999998,21,-2.3009433760,-3.9542659329,-2.3158909817,,,
0.1760000000,22,-2.6430112917,-5.2056792302,-2.1090070354,,,
0.1799999999,22,-2.6184838166,-5.6751428484,-1.6420256180,,,
0.1839999999,23,-2.3362014836,-5.4337570311,-1.1587905219,,,
0.1879999998,23,-1.1628299876,-3.9670415761,-0.1382047004,,,
0.1919999998,24,0.8406155827,-1.4648673209,1.5077617649,,,
0.1959999998,24,2.5566118667,0.8995313762,2.9006757029,,,
0.2000000000,25,3.2212778318,2.3363790982,3.3192985041,,,
0.2039999999,25,3.0994447204,3.0669056409,2.9605260925,,,
0.2079999999,26,2.4123068643,3.2500137359,2.1127933866,,,
0.2119999998,26,0.8443655261,2.4750616952,0.5781918054,,,
0.2159999998,27,-1.2307885523,0.9815744156,-1.3558026586,,,
0.2199999997,27,-2.2801350217,0.2125997245,-2.3533804700,,,
0.2239999999,28,-1.3877631103,1.1435308378,-1.4915306999,,,
0.2279999999,28,0.4353504683,2.9283114354,0.4045714304,,,
0.2319999998,29,1.6477616426,4.1158336831,1.8460281613,,,
